Mean,Standard_Deviation,Variance,Port
-0.76913,5.5906,31.255,Port 1
-0.77444,5.5941,31.293,Port 1
-0.77676,5.6246,31.636,Port 1
-0.78946,5.618,31.561,Port 1
-0.78815,5.5884,31.23,Port 1
-0.77146,5.6126,31.501,Port 1
-0.79145,5.5983,31.341,Port 1
-0.78543,5.6144,31.522,Port 1
-0.77034,5.6051,31.418,Port 1
-0.76608,5.6106,31.479,Port 1
-0.76727,5.5983,31.341,Port 1
-0.78428,5.5848,31.19,Port 1
-0.77975,5.6092,31.463,Port 1
-0.78944,5.6085,31.455,Port 1
-0.79478,5.6122,31.497,Port 1
-0.79721,5.6111,31.484,Port 1
-0.78512,5.6069,31.437,Port 1
-0.7891,5.6034,31.398,Port 1
-0.79217,5.6199,31.583,Port 1
-0.78215,5.6038,31.402,Port 1
-0.78305,5.6024,31.387,Port 1
-0.79595,5.603,31.394,Port 1
-0.79204,5.6112,31.486,Port 1
-0.79551,5.6103,31.475,Port 1
-0.797,5.5884,31.231,Port 1
-0.78005,5.6118,31.492,Port 1
-0.77503,5.6027,31.39,Port 1
-0.78939,5.6027,31.391,Port 1
-0.79497,5.6202,31.586,Port 1
-0.78784,5.6104,31.476,Port 1
-0.79944,5.6277,31.671,Port 1
-0.80451,5.6103,31.475,Port 1
-0.7993,5.6094,31.465,Port 1
-0.79048,5.5998,31.357,Port 1
-0.79484,5.6165,31.545,Port 1
-0.79008,5.5961,31.316,Port 1
-0.78217,5.5852,31.195,Port 1
-0.77936,5.6118,31.492,Port 1
-0.79725,5.6274,31.668,Port 1
-0.78821,5.6008,31.369,Port 1
-0.77694,5.6082,31.452,Port 1
-0.7823,5.6111,31.485,Port 1
-0.79368,5.5912,31.261,Port 1
-0.7902,5.6137,31.514,Port 1
-0.79411,5.6001,31.361,Port 1
-0.77873,5.5936,31.289,Port 1
-0.79404,5.6111,31.484,Port 1
-0.79405,5.598,31.337,Port 1
-0.77862,5.6082,31.452,Port 1
-0.78706,5.621,31.596,Port 1
-0.79301,5.6083,31.453,Port 1
-0.79742,5.6042,31.407,Port 1
-0.79962,5.6058,31.425,Port 1
-0.79765,5.5892,31.24,Port 1
-0.79988,5.6074,31.443,Port 1
-0.78242,5.6117,31.492,Port 1
-0.79031,5.6102,31.474,Port 1
-0.77726,5.5917,31.267,Port 1
-0.80071,5.6104,31.476,Port 1
-0.78911,5.6052,31.418,Port 1
-0.79406,5.6124,31.499,Port 1
-0.79144,5.6135,31.511,Port 1
-0.78286,5.6012,31.374,Port 1
-0.7874,5.6125,31.5,Port 1
-0.7944,5.6039,31.404,Port 1
-0.7972,5.6129,31.505,Port 1
-0.79833,5.6158,31.537,Port 1
-0.78175,5.6134,31.51,Port 1
-0.79364,5.6101,31.473,Port 1
-0.80114,5.6001,31.361,Port 1
-0.78557,5.5922,31.273,Port 1
-0.8066,5.6143,31.521,Port 1
-0.78006,5.5991,31.35,Port 1
-0.78652,5.6071,31.439,Port 1
-0.77673,5.6062,31.43,Port 1
-0.7995,5.6043,31.408,Port 1
-0.79586,5.609,31.461,Port 1
-0.78188,5.6081,31.451,Port 1
-0.78916,5.6138,31.515,Port 1
-0.78514,5.5863,31.206,Port 1
-0.79335,5.5923,31.274,Port 1
-0.80693,5.5938,31.29,Port 1
-0.80724,5.6055,31.422,Port 1
-0.78772,5.5906,31.255,Port 1
-0.79251,5.6145,31.522,Port 1
-0.79247,5.6116,31.49,Port 1
-0.79234,5.6011,31.372,Port 1
-0.79261,5.5939,31.292,Port 1
-0.80583,5.5993,31.352,Port 1
-0.79421,5.5991,31.35,Port 1
-0.79723,5.6021,31.384,Port 1
